lfc,names,ambiguousNames
Override,"[""BSD-4-Clause""]",[]
Override,"[""BSD-4-Clause-UC""]",[]
Override,"[""GPL-2.0-only""]",[]
Override,"[""CC-BY-NC-1.0""]",[]
Override,"[""CC-BY-NC-2.0""]",[]
Override,"[""CC-BY-NC-2.5""]",[]
Override,"[""CC-BY-NC-3.0""]",[]
Override,"[""CC-BY-NC-4.0""]",[]
Override,"[""CC-BY-NC-ND-1.0""]",[]
Override,"[""CC-BY-NC-ND-2.0""]",[]
Override,"[""CC-BY-NC-ND-2.5""]",[]
Override,"[""CC-BY-NC-ND-3.0""]",[]
Override,"[""CC-BY-NC-ND-4.0""]",[]
Override,"[""CC-BY-NC-SA-1.0""]",[]
Override,"[""CC-BY-NC-SA-2.0""]",[]
Override,"[""CC-BY-NC-SA-2.5""]",[]
Override,"[""CC-BY-NC-SA-3.0""]",[]
Override,"[""CC-BY-NC-SA-4.0""]",[]
Override,"[""GPL-1.0-only"",""GPL-1.0"",""GPL1.0"",""GPL1""]",[]
Override,"[""GPL-2.0-only"",""GPL-2.0"",""GPL2.0"",""GPL2"",""GPL (v2)""]",[]
Override,"[""GPL-3.0-only"",""GPL-3.0"",""GPL3.0"",""GPL3"",""GPL (v3)""]",[]
Override,"[""LGPL-2.1-only"",""LGPL-2.1"",""LGPL2.1"",""LGPL2.1"",""LGPL (v2.1)""]",[]
Override,"[""LGPL-3.0-only"",""LGPL-3.0"",""LGPL-3"",""LGPL3.0"",""LGPL3"",""LGPL (v3.0)"",""LGPL (v3)""]",[]
Override,"[""AGPL-1.0-only"",""AGPL-1.0"",""Affero General Public License (v. 1)""]",[]
Override,"[""AGPL-3.0-only"",""AGPL-3.0"",""AGPL3.0"",""AGPL3"",""AGPL (v3)"",""Affero General Public License 3.0""]",[]
Override,"[""GPL-1.0-or-later"",""GPL-1.0+"",""GPL1.0+"",""GPL1+""]",[]
Override,"[""GPL-2.0-or-later"",""GPL-2.0+"",""GPL2.0+"",""GPL2+"",""GPL (v2 or later)""]",[]
