lfc,names
SPDX,[]
BlueOak License List,[]
OpenChainPolicyTemplate,[]
OpenChainPolicyTemplate,[]
Scancode,[]
choosealicense.com,[]
finos/OSLC-handbook,[]
SPDX,[]
BlueOak License List,[]
OpenChainPolicyTemplate,[]
Scancode,[]
OpenSourceInitiative,[]
Open Knowledge International,[]
SPDX,[]
BlueOak License List,[]
Scancode,[]
SPDX,[]
BlueOak License List,[]
Scancode,[]
SPDX,[]
BlueOak License List,[]
Scancode,[]
SPDX,[]
BlueOak License List,[]
Scancode,[]
SPDX,[]
BlueOak License List,[]
Scancode,[]
Google OSS Policy,[]
SPDX,[]
BlueOak License List,[]
OpenChainPolicyTemplate,[]
Scancode,[]
choosealicense.com,[]
OpenSourceInitiative,[]
Wikipedia,[]
Google OSS Policy,[]
Open Knowledge International,[]
Override,[]
SPDX,[]
BlueOak License List,"[""Affero General Public License""]"
Scancode,[]
SPDX,[]
BlueOak License List,"[""Affero General Public License""]"
Scancode,[]
Override,[]
SPDX,[]
BlueOak License List,"[""Affero General Public License""]"
OpenChainPolicyTemplate,[]
Scancode,[]
choosealicense.com,[]
Fedora Project Wiki,[]
OpenSourceInitiative,[]
finos/OSLC-handbook,[]
Google OSS Policy,[]
Open Knowledge International,[]
Debian Free Software Guidelines,"[""GNU AFFERO GENERAL PUBLIC LICENSE (AGPL-3)""]"
Override,[]
SPDX,[]
BlueOak License List,"[""Affero General Public License""]"
Scancode,[]
finos/OSLC-handbook,[]
Wikipedia,[]
SPDX,[]
BlueOak License List,[]
Scancode,[]
SPDX,[]
BlueOak License List,[]
Scancode,[]
SPDX,[]
BlueOak License List,[]
Scancode,[]
SPDX,[]
BlueOak License List,[]
Scancode,[]
SPDX,[]
BlueOak License List,[]
Scancode,[]
SPDX,[]
Scancode,[]
OpenSourceInitiative,[]
Open Knowledge International,[]
SPDX,[]
BlueOak License List,"[""Apple Public Source License""]"
Scancode,[]
Debian Free Software Guidelines,"[""Apple Public Source License (APSL)""]"
SPDX,[]
BlueOak License List,"[""Apple Public Source License""]"
Scancode,[]
Debian Free Software Guidelines,"[""Apple Public Source License (APSL)""]"
SPDX,[]
BlueOak License List,"[""Apple Public Source License""]"
Scancode,[]
Debian Free Software Guidelines,"[""Apple Public Source License (APSL)""]"
SPDX,[]
BlueOak License List,"[""Apple Public Source License""]"
OpenChainPolicyTemplate,[]
Scancode,[]
OpenSourceInitiative,[]
Google OSS Policy,[]
Open Knowledge International,[]
Debian Free Software Guidelines,"[""Apple Public Source License (APSL)""]"
SPDX,[]
Scancode,[]
SPDX,[]
BlueOak License List,[]
Scancode,[]
SPDX,[]
Scancode,[]
SPDX,[]
BlueOak License List,[]
Scancode,[]
SPDX,[]
Scancode,[]
Override,[]
SPDX,[]
BlueOak License List,[]
Scancode,[]
Debian Free Software Guidelines,"[""The Apache Software License (ASL)""]"
Override,[]
SPDX,[]
BlueOak License List,[]
Scancode,[]
OpenSourceInitiative,[]
finos/OSLC-handbook,[]
Google OSS Policy,[]
Open Knowledge International,[]
Debian Free Software Guidelines,"[""The Apache Software License (ASL)""]"
Override,[]
SPDX,[]
BlueOak License List,[]
OpenChainPolicyTemplate,[]
Scancode,[]
choosealicense.com,[]
OpenSourceInitiative,[]
finos/OSLC-handbook,[]
Wikipedia,[]
Google OSS Policy,[]
Open Knowledge International,[]
Debian Free Software Guidelines,"[""The Apache Software License (ASL)""]"
Override,[]
SPDX,[]
BlueOak License List,[]
Scancode,[]
OpenSourceInitiative,[]
Google OSS Policy,[]
Debian Free Software Guidelines,"[""Artistic License""]"
SPDX,[]
BlueOak License List,[]
Scancode,[]
finos/OSLC-handbook,[]
Debian Free Software Guidelines,"[""Artistic License""]"
SPDX,[]
BlueOak License List,[]
Scancode,[]
Debian Free Software Guidelines,"[""Artistic License""]"
Override,[]
SPDX,[]
BlueOak License List,[]
OpenChainPolicyTemplate,[]
Scancode,[]
choosealicense.com,[]
OpenSourceInitiative,[]
finos/OSLC-handbook,[]
Wikipedia,[]
Google OSS Policy,[]
Open Knowledge International,[]
Debian Free Software Guidelines,"[""Artistic License""]"
SPDX,[]
BlueOak License List,[]
Scancode,[]
Override,[]
SPDX,[]
BlueOak License List,[]
OpenChainPolicyTemplate,[]
OpenChainPolicyTemplate,[]
Scancode,[]
choosealicense.com,[]
OpenSourceInitiative,[]
finos/OSLC-handbook,[]
Open Knowledge International,[]
SPDX,[]
BlueOak License List,[]
OpenChainPolicyTemplate,[]
Scancode,[]
SPDX,[]
Scancode,[]
Override,[]
SPDX,[]
BlueOak License List,[]
OpenChainPolicyTemplate,[]
Scancode,[]
choosealicense.com,[]
OpenSourceInitiative,[]
finos/OSLC-handbook,[]
Google OSS Policy,[]
Open Knowledge International,[]
Debian Free Software Guidelines,"[""The BSD-3-clause License""]"
SPDX,[]
BlueOak License List,[]
Scancode,[]
SPDX,[]
BlueOak License List,[]
OpenChainPolicyTemplate,[]
Scancode,[]
choosealicense.com,[]
Debian Free Software Guidelines,"[""The BSD-3-clause License""]"
SPDX,[]
BlueOak License List,[]
Scancode,[]
SPDX,[]
Scancode,[]
SPDX,[]
BlueOak License List,[]
Scancode,[]
SPDX,[]
BlueOak License List,[]
Scancode,[]
SPDX,[]
Scancode,[]
Override,[]
Override,[]
SPDX,[]
BlueOak License List,[]
Scancode,[]
choosealicense.com,[]
Fedora Project Wiki,[]
finos/OSLC-handbook,[]
Google OSS Policy,[]
Hitachi open-license,[]
Override,[]
SPDX,[]
BlueOak License List,[]
Scancode,[]
finos/OSLC-handbook,[]
Google OSS Policy,[]
SPDX,[]
BlueOak License List,"[""BSD Protection License""]"
Scancode,[]
SPDX,[]
BlueOak License List,[]
Scancode,[]
Override,[]
Override,[]
SPDX,[]
BlueOak License List,[]
OpenChainPolicyTemplate,[]
Scancode,[]
choosealicense.com,[]
OpenSourceInitiative,[]
finos/OSLC-handbook,[]
Wikipedia,[]
Google OSS Policy,[]
Open Knowledge International,[]
SPDX,[]
BlueOak License List,[]
Scancode,[]
SPDX,[]
BlueOak License List,[]
Scancode,[]
SPDX,[]
BlueOak License List,[]
Scancode,[]
Wikipedia,[]
Google OSS Policy,[]
SPDX,[]
Scancode,[]
SPDX,[]
Scancode,[]
Open Knowledge International,[]
SPDX,[]
BlueOak License List,[]
Scancode,[]
SPDX,[]
BlueOak License List,[]
Scancode,[]
SPDX,[]
BlueOak License List,"[""Cryptographic Autonomy License""]"
Scancode,[]
SPDX,[]
Scancode,[]
SPDX,[]
OpenChainPolicyTemplate,[]
Scancode,[]
OpenSourceInitiative,[]
Open Knowledge International,[]
SPDX,[]
Scancode,[]
Google OSS Policy,[]
Debian Free Software Guidelines,"[""Creative Commons Attribution License (CC-by), v1.0""]"
SPDX,[]
Scancode,[]
Google OSS Policy,[]
SPDX,[]
Scancode,[]
Google OSS Policy,[]
SPDX,[]
Scancode,[]
Google OSS Policy,[]
Debian Free Software Guidelines,"[""Creative Commons Attribution unported (CC-BY) v3.0""]"
SPDX,[]
Scancode,[]
SPDX,[]
SPDX,[]
Scancode,[]
choosealicense.com,[]
Wikipedia,[]
Google OSS Policy,[]
Open Knowledge International,[]
Debian Free Software Guidelines,"[""Creative Commons Attribution unported (CC-BY) v4.0""]"
Override,[]
SPDX,[]
Scancode,[]
Google OSS Policy,[]
Debian Free Software Guidelines,"[""Creative Commons Attribution-Non Commercial-Share Alike (CC-by-nc-sa)""]"
Override,[]
SPDX,[]
Scancode,[]
Google OSS Policy,[]
Debian Free Software Guidelines,"[""Creative Commons Attribution-Non Commercial-Share Alike (CC-by-nc-sa)""]"
