,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGPL3","AGPL3+","AGPL3.0","agpl-v3","AGPL 3.0","AGPL-3.0","AGPL3.0+","agpl-3.0","AGPL (v3)","AGPL-3.0+","GNU AGPLv3","osi:AGPL-3.0","AGPL-3.0-only","AGPL 3.0 or later","AGPL-3.0-or-later","scancode:agpl-2.0","scancode:agpl-3.0","AGPL (v3 or later)","scancode://agpl-3.0","scancode:agpl-3.0-plus","scancode://agpl-3.0-plus","Affero General Public License 3.0","GNU Affero General Public License v3","GNU Affero General Public License 3.0","Affero General Public License 3.0 or later","GNU AFFERO GENERAL PUBLIC LICENSE Version 3","GNU Affero General Public License v3.0 only","GNU Affero General Public License v3.0 or later","GNU Affero General Public License (AGPL-3.0) (v. 3.0)","GNU AFFERO GENERAL PUBLIC LICENSE, Version 3 (AGPL-3.0)","GNU Affero General Public License 3.0 (or any later version)","License :: OSI Approved :: GNU Affero General Public License v3"
"LGPL3","LGPL-3","LGPL-3+","LGPL3.0","LGPL 3.0","LGPL-3.0","LGPL3.0+","lgpl-3.0","LGPL (v3)","LGPL-3.0+","GNU LGPLv3","LGPL (v3.0)","osi:LGPL-3.0","LGPL-3.0-only","LGPL 3.0 or later","LGPL-3.0-or-later","scancode:lgpl-3.0","LGPL (v3 or later)","scancode://lgpl-3.0","scancode:lgpl-3.0-plus","scancode://lgpl-3.0-plus","GNU Lesser General Public License 3.0","GNU Lesser General Public License Version 3","GNU Lesser General Public License v3.0 only","GNU Lesser General Public License, Version 3.0","GNU Lesser General Public License v3.0 or later","GNU Lesser General Public License 3.0 (or any later version)","License :: OSI Approved :: GNU Lesser General Public License v3 (LGPLv3)","License :: OSI Approved :: GNU Library or Lesser General Public License (LGPL)",,,
"BSD-3","osi:BSD-3","BSD-3-Clause","BSD-3-clause","bsd-3-clause","BSD (3 clause)","New BSD License","scancode:libzip","BSD-3-Clause-001","osi:BSD-3-Clause","scancode:bsd-new","scancode://bsd-new","scancode:bsd-intel","Revised BSD License","BSD 3-Clause License","Modified BSD License","scancode:twisted-snmp","BSD-3-Clause-Copyright","scancode:bsd-new-nomod","BSD 3-Clause License Var001","BSD License (no advertising)","scancode:bsd-3-clause-no-change","scancode:bsd-3-clause-no-trademark","License :: OSI Approved :: BSD License","BSD 3-Clause ""New"" or ""Revised"" License","BSD 3-Clause License (copyright variant)","BSD 3-Clause ""New"" or ""Revised"" License (BSD-3-Clause)",,,,,
"GPL3","GPL3+","GPL3.0","GPL 3.0","GPL-3.0","GPL3.0+","gpl-3.0","GPL (v3)","GPL-3.0+","GNU GPLv3","osi:GPL-3.0","GPL-3.0-only","GPL 3.0 or later","GPL-3.0-or-later","scancode:gpl-3.0","GPL (v3 or later)","scancode://gpl-3.0","scancode:gpl-3.0-plus","scancode://gpl-3.0-plus","GNU General Public License 3.0","GNU General Public License Version 3","GNU General Public License v3.0 only","GNU General Public License, Version 3.0","GNU General Public License v3.0 or later","GNU General Public License 3.0 (or any later version)","License :: OSI Approved :: GNU General Public License (GPL)","License :: OSI Approved :: GNU General Public License v3 (GPLv3)",,,,,
"GPL2","GPL2+","GPL2.0","GPL 2.0","GPL-2.0","GPL2.0+","gpl-2.0","GPL (v2)","GPL-2.0+","GNU GPLv2","osi:GPL-2.0","GPL-2.0-only","GPL 2.0 or later","GPL-2.0-or-later","scancode:gpl-2.0","GPL (v2 or later)","scancode://gpl-2.0","scancode:gpl-2.0-plus","scancode://gpl-2.0-plus","GNU General Public License 2.0","GNU General Public License Version 2","GNU General Public License v2.0 only","GNU General Public License, Version 2.0","GNU General Public License v2.0 or later","GNU General Public License 2.0 (or any later version)","License :: OSI Approved :: GNU General Public License v2 (GPLv2)",,,,,,
"LGPL2.1","LGPL 2.1","LGPL-2.1","LGPL2.1+","lgpl-2.1","LGPL-2.1+","LGPL (v2.1)","GNU LGPLv2.1","osi:LGPL-2.1","LGPL-2.1-only","LGPL 2.1 or later","LGPL-2.1-or-later","scancode:lgpl-2.1","scancode://lgpl-2.1","LGPL (v2.1 or later)","scancode:lgpl-2.1-plus","scancode://lgpl-2.1-plus","GNU Lesser General Public License 2.1","GNU Lesser General Public License v2.1 only","GNU Lesser General Public License Version 2.1","GNU Lesser General Public License, Version 2.1","GNU Lesser General Public License v2.1 or later","GNU Lesser General Public License 2.1 (or any later version)","License :: OSI Approved :: GNU Lesser General Public License v2 (LGPLv2)",,,,,,,,
"Zlib","zlib","osi:Zlib","zlib/libpng","ZLIB License","zlib License","zlib-license","scancode:zlib","scancode://zlib","scancode:d-zlib","zlib/libpng license","scancode:aladdin-md5","scancode:fastbuild-2012-2020","The zlib/libpng License (Zlib)","License :: OSI Approved :: zlib/libpng License",,,,,,,,,,,,,,,,,
"BSD-2","BSD-2-Clause","BSD-2-clause","bsd-2-clause","BSD (2 clause)","FreeBSD License","osi:BSD-2-Clause","BSD 2-Clause License","Simplified BSD License","scancode:bsd-simplified","BSD License (two clause)","scancode://bsd-simplified","BSD 2-Clause ""Simplified"" License","BSD 2-Clause ""Simplified"" or ""FreeBSD"" License","BSD 2-Clause ""Simplified"" or ""FreeBSD"" License (BSD-2-Clause)",,,,,,,,,,,,,,,,,
"Artistic 1.0","Artistic-1.0","Artistic-1.0-cl8","osi:Artistic-1.0","Artistic License 1.0","scancode:artistic-1.0","Artistic 1.0 (original)","Artistic 1.0 w/clause 8","scancode://artistic-1.0","scancode:artistic-1.0-cl8","Artistic License 1.0 (cl8)","Artistic License (Perl) 1.0","scancode://artistic-1.0-cl8","Artistic License, Version 1.0","Artistic License 1.0 w/clause 8",,,,,,,,,,,,,,,,,
"ALv2","ASL 2.0","apache2.0","Apache 2.0","Apache-2.0","apache-2.0","Apache (v2.0)","osi:Apache-2.0","Apache License 2.0","scancode:apache-2.0","scancode://apache-2.0","Apache License, Version 2.0","Apache Software License 2.0","License :: OSI Approved :: Apache Software License",,,,,,,,,,,,,,,,,,
