lfc,names,ambiguousNames
BlueOak License List,"[""BSD-2-Clause-FreeBSD"",""BSD 2-Clause FreeBSD License""]",[]
BlueOak License List,"[""BSD-2-Clause-NetBSD"",""BSD 2-Clause NetBSD License""]",[]
Debian Free Software Guidelines,"[""X-Oz License""]","[""X-Oz License""]"
Debian Free Software Guidelines,"[""Creative Commons Sampling Plus (CC-sampling+), v1.0""]","[""Creative Commons Sampling Plus (CC-sampling+), v1.0""]"
Debian Free Software Guidelines,"[""License for OpenPBS and Torque""]","[""License for OpenPBS and Torque""]"
Debian Free Software Guidelines,"[""Swiss Ephemeris Public License""]","[""Swiss Ephemeris Public License""]"
Debian Free Software Guidelines,"[""SPIN License""]","[""SPIN License""]"
Fedora Project Wiki,"[""4Suite Copyright License""]","[""ASL 1.1""]"
Fedora Project Wiki,"[""Academic Free License""]","[""AFL""]"
Fedora Project Wiki,"[""Affero General Public License 3.0 with Zarafa trademark exceptions""]","[""AGPLv3 with exceptions""]"
Fedora Project Wiki,"[""App::s2p License""]","[""App-s2p""]"
Fedora Project Wiki,"[""Array Input Method Public License""]","[""Array""]"
Fedora Project Wiki,"[""Aspell-ru License""]","[""ARL""]"
Fedora Project Wiki,"[""BeOpen Open Source License Agreement Version 1""]","[""BeOpen""]"
Fedora Project Wiki,"[""Bibtex License""]","[""Bibtex""]"
Fedora Project Wiki,"[""BitTorrent License""]","[""BitTorrent""]"
Fedora Project Wiki,"[""Boost Software License""]","[""Boost""]"
Fedora Project Wiki,"[""BSD + Patent""]","[""BSD-2-Clause-Patent""]"
Fedora Project Wiki,"[""CeCILL License v1.1""]","[""CeCILL""]"
Fedora Project Wiki,"[""CeCILL License v2""]","[""CeCILL""]"
Fedora Project Wiki,"[""Celtx Public License (CePL)""]","[""Netscape""]"
Fedora Project Wiki,"[""CMU License (BSD like)""]","[""MIT""]"
Fedora Project Wiki,"[""CNRI License (Old Python)""]","[""CNRI""]"
Fedora Project Wiki,"[""Common Development Distribution License 1.0""]","[""CDDL-1.0""]"
Fedora Project Wiki,"[""Common Development Distribution License 1.1""]","[""CDDL-1.1""]"
Fedora Project Wiki,"[""Common Public License""]","[""CPL""]"
Fedora Project Wiki,"[""Condor Public License""]","[""Condor""]"
Fedora Project Wiki,"[""Copyright Attribution Only""]","[""Copyright only""]"
Fedora Project Wiki,"[""CPAL License 1.0""]","[""CPAL""]"
Fedora Project Wiki,"[""CP/M License""]","[""CPM""]"
Fedora Project Wiki,"[""CRC32 License""]","[""CRC32""]"
Fedora Project Wiki,"[""Creative Commons BSD""]","[""BSD""]"
Fedora Project Wiki,"[""Creative Commons GNU GPL""]","[""GPLv2+""]"
Fedora Project Wiki,"[""Creative Commons GNU LGPL""]","[""LGPLv2+""]"
Fedora Project Wiki,"[""Creative Commons Zero 1.0 Universal""]","[""CC0""]"
Fedora Project Wiki,"[""Cryptix General License""]","[""BSD""]"
Fedora Project Wiki,"[""CUA Office Public License Version 1.0""]","[""MPLv1.1""]"
