Fedora Full Name	SPDX id	Upstream URL	Fedora Notes	other notes
9wm License (Original)		http://unauthorised.org/dhog/9wm/README	The argument that there's a strongly-implied right to modify is unlikely to fly in many countries outside the US. NOTE: 9wm has since been relicensed to MIT.	
Adaptive Public License	APL-1.0	http://opensource.org/licenses/apl1.0.php		
Agere LT Modem Driver License		https://fedoraproject.org/wiki/Licensing/Agere_LT_Modem_Driver_License		This license is non-free. A copy of this license was obtained from http://www.mepis.org/node/10356 and is preserved here for reference.
Aladdin Free Public License	Aladdin	http://www.artifex.com/downloads/doc/Public.htm		
AMAP License		https://fedoraproject.org/wiki/Licensing/AMAP_License	Additional restrictions are non-free and GPL incompatible	
Amazon Software License		http://aws.amazon.com/asl/	Section 3.3 is a clear field-of-use restriction	
Apple iTunes License		http://images.apple.com/legal/sla/docs/itunes.pdf	No source related permissions	
Apple Public Source License 1.0	APSL-1.0	https://fedoraproject.org/wiki/Licensing/Apple_Public_Source_License_1.0		This license is non-free. At one point, it could be found at http://www.opensource.apple.com/apsl/1.0.txt, but that link now redirects to APSL 2.0. A copy of the license text has been taken from archive.org's October 01, 2007 revision.
Apple Public Source License 1.1	APSL-1.1	https://fedoraproject.org/wiki/Licensing/Apple_Public_Source_License_1.1		This license is non-free. It used to be available here: http://www.opensource.apple.com/apsl/1.1.txt, but that now only points to APSL 2.0. A copy was taken from archive.org's snapshot from September 01, 2000.
Apple Public Source License 1.2	APSL-1.2	https://fedoraproject.org/wiki/Licensing/Apple_Public_Source_License_1.2		This license is non-free. It used to live at http://www.opensource.apple.com/apsl/1.2.txt, but Apple has taken down all copies of the APSL prior to 2.0. This copy was taken from archive.org's copy from April 15, 2008.
Apple Quicktime License		http://store.apple.com/Catalog/US/Images/quicktime.html	No source related permissions	
Aptana Public License		http://aptana.com/legal/apl/	No permission to redistribute	
Artistic 1.0 (original)	Artistic-1.0-Perl	http://www.perl.com/pub/a/language/misc/Artistic.html	See: http://www.gnu.org/licenses/license-list.html#ArtisticLicense	
AT&T Public License			Deprecated license	
C/Migemo License		https://fedoraproject.org/wiki/Licensing/CMigemo		see notes on page
CACert Root Distribution License		https://fedoraproject.org/wiki/Licensing/CACert_Root_Distribution_License	Liability disclaimer is actually use restriction	see notes on page
CodeProject Open License (CPOL)	CPOL-1.02	http://www.codeproject.com/info/cpol10.aspx	Unacceptable use restrictions	
Commons Clause		https://fedoraproject.org/wiki/Licensing/CommonsClause	Commercial use restrictions	see notes on page
eCos Public License, v1.1				
Eiffel Forum License 1.0	EFL-1.0	https://fedoraproject.org/wiki/Licensing/Eiffel_Forum_License_V1		
EMC2 License		http://pauillac.inria.fr/cdrom_a_graver/www/emc2/copyright.htm	Commercial use restrictions	
European Union Public License v1.0	EUPL-1.0	http://ec.europa.eu/idabc/eupl	Non-free due to Article 13.	
Frameworx License	Frameworx-1.0	http://opensource.org/licenses/frameworx.php	Non-free due to the limitation on charging for "Value-Added Services"	
Frontier Artistic License		http://www.spinwardstars.com/frontier/fal.html	Non-free for the same reasons as regular Artistic 1.0 License	
GPL for Computer Programs of the Public Administration		http://www.celepar.pr.gov.br/modules/conteudo/conteudo.php?conteudo=69		
gSOAP Public License	gSOAP-1.3b	http://www.cs.fsu.edu/~engelen/license.html	Please note that while the "gSOAP Public License" is non-free, the "gSOAP Toolkit" is dual licensed as GPLv2 or gSOAP Public License.	
Hacktivismo Enhanced-Source Software License Agreement		http://www.hacktivismo.com/about/hessla.php		
Helix DNA Technology Binary Research Use License		https://helixcommunity.org/beula/	No source permissions, binary EULA	
HP Software License Terms		http://h30097.www3.hp.com/hp_sw_license.html	No source permissions, binary EULA	
IBM Sample Code License		https://fedoraproject.org/wiki/Licensing/IBM_Sample_Code_License	Use restrictions	see notes on page
