Full Name,Short Name,FSF Free?,Upstream URL
Creative Commons Attribution license,CC-BY,Yes,http://creativecommons.org/licenses/by/4.0/
Creative Commons Attribution-ShareAlike,CC-BY-SA,Yes,http://creativecommons.org/licenses/by-sa/4.0/
Creative Commons Attribution-NoDerivs,CC-BY-ND,No,http://creativecommons.org/licenses/by-nd/4.0/
Creative Commons Zero 1.0 Universal,CC0,Yes,http://creativecommons.org/publicdomain/zero/1.0/legalcode
Design Science License,DSL,Yes,http://www.fsf.org/licensing/licenses/dsl.html
Distributed Management Task Force License,DMTF,No,https://fedoraproject.org/wiki/Licensing/DMTF
EFF Open Audio License v1,OAL,Yes,https://fedoraproject.org/wiki/Licensing/OpenAudioLicense
Ethymonics Free Music License,EFML,No,https://fedoraproject.org/wiki/Licensing/Ethymonics_Free_Music_License
Free Art License,Free Art,Yes,http://artlibre.org/licence/lalgb.html
GeoGratis Licence Agreement,GeoGratis,Yes,http://geogratis.cgdi.gc.ca/geogratis/en/licence.jsp
GNU General Public License,(See Note A),Yes,http://www.fsf.org/licensing/licenses/gpl.html
License Ouverte,Ouverte,Yes,https://www.etalab.gouv.fr/licence-ouverte-open-licence
LinuxTag Green OpenMusic License,Green OpenMusic,Yes (only if clause VI is NOT invoked),http://openmusic.linuxtag.org/green.html
Open Data Commons Public Domain Dedication and Licence,PDDL-1.0,Yes,https://fedoraproject.org/wiki/Licensing/PDDL
Open Data License (GeoLite Country and GeoLite City databases),BSD with advertising,Yes,https://fedoraproject.org/wiki/Licensing/BSD#OpenData_Variant
