pattern,num
pytest unittest,304
unittest mock,241
requests urllib2,175
pytest nose,156
requests urllib,155
path os,107
json simplejson,82
six urllib,74
ruamel pyyaml,73
cryptography pycryptodome,73
ujson json,65
click argparse,60
pycryptodomex pycryptodome,59
requests httplib2,57
pyyaml json,55
json pickle,55
botocore boto,50
sentry-sdk raven,41
simplejson json,40
testtools unittest,40
aiohttp requests,37
urllib requests,37
unittest pytest,34
six urllib2,33
tensorflow keras,30
requests httplib,28
json pyyaml,27
neutron-lib neutron,27
nose unittest,26
tenacity retrying,25
pycodestyle pep8,25
urllib3 requests,24
mock mox,24
transformers pytorch-transformers,24
argparse click,23
unicodecsv csv,23
urllib2 requests,23
unittest nose,23
regex re,23
docopt argparse,22
requests pycurl,22
tqdm progressbar,21
ipaddress ipaddr,20
six future,20
py2-ipaddress ipaddr,20
dill pickle,20
imageio scipy,19
json ujson,19
testtools unittest2,18
django unittest,18
pickle json,17
requests-mock httpretty,17
algoliasearch-django unittest,17
google oauth2client,17
requests-oauthlib requests-oauth2,17
httpx requests,16
platform os,16
mock unittest,15
future six,15
oslo.serialization json,14
oslo.utils uuid,14
pytest unittest2,14
argparse docopt,14
numpy scipy,14
argparse sys,14
models model,14
pytest py,14
astropy pyfits,14
oslotest testtools,14
requests requests-oauth2,14
cryptography pyopenssl,14
unittest mbed-host-tests,13
lxml beautifulsoup,13
unittest test,13
six httplib,13
osc-lib openstackclient,13
configargparse argparse,13
urllib six,13
requests-oauthlib oauth2,13
numpy math,13
social-auth-core social-auth,12
dataclasses attr,12
dataclasses attrs,12
sys os,12
click docopt,12
munch bunch,12
requests http,12
test unittest,11
cryptography m2crypto,11
defusedxml lxml,11
mock mox3,11
ujson simplejson,11
mbed-host-tests unittest,11
oslo.log logging,11
alembic sqlalchemy-migrate,11
alabaster sphinx-rtd-theme,11
zeep suds,11
torch tensorboard-pytorch,11
zeep suds-py3,11
responses httpretty,11
sphinx-rtd-theme sphinx-bootstrap-theme,11
pyyaml ruamel,11
social-auth-app-django social-auth,11
sys platform,10
pytest pandas,10
futures multiprocessing,10
urllib2 httplib,10
aiohttp websockets,10
json pprint,10
bs4 beautifulsoup,10
cartopy basemap,10
cchardet chardet,10
cchardet chardet2,10
pandas csv,10
django south,10
requests-oauth2 oauth,10
social-auth-core social,10
pyside2 pyqt5,10
pillow scipy,10
orjson json,10
os path,10
csv pandas,9
msgpack json,9
configparser config,9
pyside2 qt5,9
math numpy,9
six algoliasearch-django,9
six django,9
requests urllib3,9
algoliasearch-django six,9
re regex,9
requests oauth2,9
multiprocess multiprocessing,9
dateutil pytz,9
django six,9
django simplejson,9
django jingo,9
six configparser,8
httplib urllib2,8
http requests,8
sphinx-rtd-theme sphinx-testing,8
oauthlib requests-oauth2,8
skimage scipy,8
sphinx-rtd-theme sphinx,8
aenum enum34,8
oauthlib oauth2,8
torch tensorboardx,8
flask bottle,8
social-auth-app-django social,8
pytest django,8
numpy pandas,8
pyyaml configparser,8
aenum enum,8
click notifications-client,8
algoliasearch-django simplejson,8
cx-freeze py2exe,8
pickle dill,7
openstack.nose-plugin os-client-config,7
py.test nose,7
plyvel leveldb,7
json config,7
argparse core-parser-app,7
path multiprocessing,7
passlib hashlib,7
decorator functools,7
httpx aiohttp,7
grequests requests,7
tweepy twitter,7
netaddr ipaddr,7
mock mocker,7
invoke fabric,7
invoke fabric3,7
logging logger,7
alembic migrate,7
json django,7
urllib2 httplib2,7
astrohelpers astropy,7
joblib scikit,7
six sys,7
pytest mbed-host-tests,7
sphinx-astropy astrohelpers,7
sounddevice pyaudio,7
scikit scipy,7
pytorch-transformers pytorch-pretrained-bert,7
asyncio tornado,7
fonttools ufolib,7
algoliasearch-django jingo,6
elasticsearch-dsl elasticsearch,6
attr characteristic,6
attrs characteristic,6
requests wget,6
unittest algoliasearch-django,6
unittest django,6
configobj configparser,6
beautifulsoup4 lxml,6
six pickle,6
eventlet gevent,6
json lxml,6
json csv,6
semantic-version node-semver,6
json configparser,6
unittest torch-scatter,6
netaddr py2-ipaddress,6
msgpack pickle,6
netaddr ipaddress,6
ssh paramiko,6
py2-ipaddress netaddr,6
sys nevow,6
pillow wand,6
pyyaml config,6
cloudpickle pickle,6
async-timeout async,6
asyncio multiprocessing,6
oslo.i18n neutron,6
sklearn scikit,6
request requests,6
tornado flask,6
distro platform,6
asyncio twisted,6
pytest asyncio,6
tomlkit toml,6
semantic-version semver,6
html htmlparser,6
joblib sklearn,6
guzzle-sphinx-theme sphinx-rtd-theme,6
fasteners lockfile,6
ipaddress netaddr,6
h5py tables,6
importlib django,6
imdbpie imdbpy,5
utils common,5
string inspect,5
string the,5
multiprocessing joblib,5
hashlib the,5
tabulate prettytable,5
aioredis redis,5
pg8000 psycopg2,5
tensorboard-pytorch tensorflow,5
htmlparser lxml,5
paramiko fabric3,5
paramiko fabric,5
multiprocessing multiprocess,5
pyaes pycryptodome,5
oslo.utils hashlib,5
oslo.config argparse,5
os unittest,5
toml pyyaml,5
setuptools functools,5
httplib2 requests,5
oauthlib oauth,5
csv unicodecsv,5
ssl pyopenssl,5
msgpack u-msgpack-python,5
rapidjson ujson,5
backports csv,5
beautifulsoup lxml,5
requests-mock mock,5
bleach html5lib,5
requests urlgrabber,5
functools functional,5
six htmlparser,5
bottle flask,5
whitenoise dj-static,5
six xmlrpclib,5
requests grequests,5
rapidjson json,5
pycryptodome m2crypto,5
cloudpickle dill,5
pytest tox,5
pytest testify,5
pytest algoliasearch-django,5
pysmartdl wget,5
watchdog pyinotify,5
pypandoc pyandoc,5
pymysql mysqlclient,5
pymemcache python3-memcached,5
pymemcache memcached,5
pycryptodome pycryptodomex,5
msgpack umsgpack,5
os sys,5
importlib algoliasearch-django,5
json algoliasearch-django,5
importlib-metadata entrypoints,5
jinja2 cheetah,5
unittest twisted,5
unittest testtools,5
jinja2 cheetah3,5
json flatten-json,5
jinja2 django,5
json anyjson,5
model models,5
jinja2 algoliasearch-django,5
lxml beautifulsoup4,5
algoliasearch-django models,5
logging zlog,5
askbot models,4
