"_id","shorthand","slug","title"
"52931b330856dee25d000009","apache2","apache-license-2.0-(apache-2.0)","Apache License 2.0 (Apache-2.0)"
"52c85ec302e7ac6f34000008","mit","mit-license","MIT License (Expat)"
"52c85f2802e7ac6f34000016","mspl","microsoft-public-license-(ms-pl)","Microsoft Public License (Ms-PL)"
"52c8605c02e7ac6f3400002b","gpl2","gnu-general-public-license-v2","GNU General Public License v2.0 (GPL-2.0)"
"52c863569f62d5643500000c","gpl-3.0","gnu-general-public-license-v3-(gpl-3)","GNU General Public License v3 (GPL-3)"
"52c864b19f62d56435000024","mpl-2.0","mozilla-public-license-2.0-(mpl-2)","Mozilla Public License 2.0 (MPL-2.0)"
"52c867dc9f62d56435000039","lgpl2","gnu-lesser-general-public-license-v2.1-(lgpl-2.1)","GNU Lesser General Public License v2.1 (LGPL-2.1) "
"52c868f09f62d56435000048","freebsd","bsd-2-clause-license-(freebsd)","BSD 2-Clause License (FreeBSD/Simplified)"
"52c869359f62d56435000055","bsd3","bsd-3-clause-license-(revised)","BSD 3-Clause License (Revised)"
"52c869b59f62d56435000072","zlib","zlib-libpng-license-(zlib)","Zlib-Libpng License (Zlib)"
"53a1d4ae44c171555500018a",,"oclc-research-public-license-2.0-(oclc-2.0)","OCLC Research Public License 2.0 (OCLC-2.0)"
"53a1d9e344c171555500019c",,"odc-public-domain-dedication-&-license-1.0-(pddl-1.0)","ODC Public Domain Dedication & License 1.0 (PDDL-1.0)"
"53a1dcea44c17155550001a8",,"open-group-test-suite-license-(ogtsl)","Open Group Test Suite License (OGTSL)"
"53a1df3b44c17155550001b5",,"openldap-public-license-v2.8-(oldap-2.8)","OpenLDAP Public License v2.8 (OLDAP-2.8)"
"53a1e08b44c17155550001c2",,"openssl-license-(openssl)","OpenSSL License (OpenSSL)"
"53a1e44e44c17155550001cf",,"postgresql-license-(postgresql)","PostgreSQL License (PostgreSQL)"
"53a1e57644c17155550001da",,"q-public-license-1.0-(qpl-1.0)","Q Public License 1.0 (QPL-1.0)"
"53a1e7bd44c17155550001e6",,"red-hat-ecos-public-license-v1.1-(rhecos-1.1)","Red Hat eCos Public License v1.1 (RHeCos-1.1)"
"53a1e9ac44c17155550001f5",,"ricoh-source-code-public-license-(rscpl)","Ricoh Source Code Public License (RSCPL)"
"53a1eb6344c1715555000203",,"ruby-license-(ruby)","Ruby License (Ruby)"
"53a1ec6d44c171555500020f",,"sax-public-domain-notice-(sax-pd)","Sax Public Domain Notice (SAX-PD)"
"53a1ed1544c1715555000218",,"sgi-free-software-license-b-v2.0-(sgi-b-2.0)","SGI Free Software License B v2.0 (SGI-B-2.0)"
"53a1ef3544c1715555000240",,"standard-ml-of-new-jersey-license-(smlnj)","Standard ML of New Jersey License (SMLNJ)"
"53a1fa1644c1715555000259","sugarcrm-1.1.3","sugarcrm-public-license-v1.1.3-(sugarcrm-1.1.3)","SugarCRM Public License v1.1.3 (SugarCRM-1.1.3)"
"53a218ac763c784c60000037","mpl-1.1","mozilla-public-license-1.1-(mpl-1.1)","Mozilla Public License 1.1 (MPL-1.1)"
"53a2376f763c784c6000006e",,"sun-industry-standards-source-license-v1.2-(sissl-1.2)","Sun Industry Standards Source License v1.2 (SISSL-1.2)"
"53a23a28763c784c6000007d",,"vovida-software-license-v1.0-(vsl-1.0)","Vovida Software License v1.0 (VSL-1.0)"
"53a23b2c763c784c60000089",,"w3c-software-notice-and-license-(w3c)","W3C Software Notice and License (W3C)"
"53a23ca8763c784c60000096",,"wxwindows-library-license-(wxwindows)","wxWindows Library License (WXwindows)"
