Fullname,Shortname,Rating,Copyleft,HasPatentHint,IsNonCommercial
EU DataGrid Software License,EUDatagrid,Unknown,NoCopyleft,UNDEFINED,UNDEFINED
VOSTROM Public License for Open Source,VOSTROM,"Unknown, probably Attention or Stop or No-Go",Copyleft,UNDEFINED,UNDEFINED
GNU Free Documentation License v1.3 only - no invariants,GFDL-1.3-no-invariants-only,"Unknown, probably Attention or Stop or No-Go",WeakCopyleft,UNDEFINED,UNDEFINED
Creative Commons Attribution Share Alike 1.0 Generic,CC-BY-SA-1.0,"Unknown, probably Attention or Stop or No-Go",NoCopyleft,UNDEFINED,UNDEFINED
Creative Commons Attribution 3.0 Germany,CC-BY-3.0-DE,"Unknown, probably Attention or Stop or No-Go",UNDEFINED,UNDEFINED,UNDEFINED
Creative Commons Attribution Share Alike 2.5 Generic,CC-BY-SA-2.5,"Unknown, probably Attention or Stop or No-Go",WeakCopyleft,UNDEFINED,UNDEFINED
Haskell Language Report License,HaskellReport,Unknown,NoCopyleft,UNDEFINED,UNDEFINED
Simple Public License 2.0,SimPL-2.0,"Unknown, probably Attention or Stop or No-Go",Copyleft,UNDEFINED,UNDEFINED
Clarified Artistic License,ClArtistic,"Unknown, probably Stop or No-Go",WeakCopyleft,UNDEFINED,UNDEFINED
Secure Messaging Protocol Public License,SMPPL,"Unknown, probably Attention or Stop or No-Go",WeakCopyleft,UNDEFINED,UNDEFINED
CUA Office Public License v1.0,CUA-OPL-1.0,"Unknown, probably Attention or Stop or No-Go",WeakCopyleft,UNDEFINED,UNDEFINED
Open LDAP Public License v1.3,OLDAP-1.3,"Unknown, probably Stop or No-Go",WeakCopyleft,UNDEFINED,UNDEFINED
Giftware License,Giftware,"Unknown, probably Stop or No-Go",NoCopyleft,UNDEFINED,UNDEFINED
BitTorrent Open Source License v1.1,BitTorrent-1.1,"Unknown, probably Attention or Stop or No-Go",WeakCopyleft,UNDEFINED,UNDEFINED
ISC License,ISC,Go,NoCopyleft,False,UNDEFINED
LaTeX Project Public License v1.1,LPPL-1.1,"Unknown, probably Attention or Stop or No-Go",WeakCopyleft,UNDEFINED,UNDEFINED
Educational Community License v2.0,ECL-2.0,Go,NoCopyleft,UNDEFINED,UNDEFINED
Entessa Public License v1.0,Entessa,Go,NoCopyleft,UNDEFINED,UNDEFINED
Spencer License 86,Spencer-86,"Unknown, probably Stop or No-Go",NoCopyleft,UNDEFINED,UNDEFINED
Open Use of Data Agreement v1.0,O-UDA-1.0,"Unknown, probably Attention or Stop or No-Go",NoCopyleft,UNDEFINED,UNDEFINED
"BSD 4-Clause ""Original"" or ""Old"" License",BSD-4-Clause,Attention,NoCopyleft,UNDEFINED,UNDEFINED
Condor Public License v1.1,Condor-1.1,"Unknown, probably Stop or No-Go",NoCopyleft,UNDEFINED,UNDEFINED
Open Data Commons Attribution License v1.0,ODC-By-1.0,"Unknown, probably Attention or Stop or No-Go",NoCopyleft,UNDEFINED,UNDEFINED
IPA Font License,IPA,"Unknown, probably Attention or Stop or No-Go",StrongCopyleft,UNDEFINED,UNDEFINED
Net-SNMP License,Net-SNMP,Go,NoCopyleft,UNDEFINED,UNDEFINED
BSD 4 Clause Shortened,BSD-4-Clause-Shortened,Go,NoCopyleft,UNDEFINED,UNDEFINED
Community Data License Agreement Permissive 2.0,CDLA-Permissive-2.0,"Unknown, probably Attention or Stop or No-Go",NoCopyleft,UNDEFINED,UNDEFINED
Creative Commons Attribution Non Commercial No Derivatives 2.5 Generic,CC-BY-NC-ND-2.5,No-Go,UNDEFINED,UNDEFINED,True
BSD 3-Clause No Nuclear License,BSD-3-Clause-No-Nuclear-License,"Unknown, probably Attention or Stop or No-Go",NoCopyleft,UNDEFINED,UNDEFINED
Creative Commons Attribution 3.0 Netherlands,CC-BY-3.0-NL,"Unknown, probably Attention or Stop or No-Go",UNDEFINED,UNDEFINED,UNDEFINED
Latex2e License,Latex2e,Unknown,NoCopyleft,UNDEFINED,UNDEFINED
Open Government Licence - Canada,OGL-Canada-2.0,"Unknown, probably Attention or Stop or No-Go",NoCopyleft,UNDEFINED,UNDEFINED
Zope Public License 2.1,ZPL-2.1,Go,NoCopyleft,UNDEFINED,UNDEFINED
BSD 3-Clause Modification,BSD-3-Clause-Modification,Go,NoCopyleft,UNDEFINED,UNDEFINED
Vovida Software License v1.0,VSL-1.0,Go,NoCopyleft,UNDEFINED,UNDEFINED
RSA Message-Digest License,RSA-MD,"Unknown, probably Stop or No-Go",NoCopyleft,UNDEFINED,UNDEFINED
Common Documentation License 1.0,CDL-1.0,"Unknown, probably Attention or Stop or No-Go",WeakCopyleft,UNDEFINED,UNDEFINED
The Parity Public License 7.0.0,Parity-7.0.0,"Unknown, probably Attention or Stop or No-Go",MaximalCopyleft,UNDEFINED,UNDEFINED
Creative Commons Attribution Share Alike 2.0 England and Wales,CC-BY-SA-2.0-UK,"Unknown, probably Attention or Stop or No-Go",WeakCopyleft,UNDEFINED,UNDEFINED
SCEA Shared Source License,SCEA,Unknown,NoCopyleft,UNDEFINED,UNDEFINED
Creative Commons Attribution Non Commercial Share Alike 3.0 Germany,CC-BY-NC-SA-3.0-DE,"Unknown, probably Attention or Stop or No-Go",UNDEFINED,UNDEFINED,UNDEFINED
Solderpad Hardware License v0.5,SHL-0.5,"Unknown, probably Attention or Stop or No-Go",NoCopyleft,UNDEFINED,UNDEFINED
"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,Go,NoCopyleft,UNDEFINED,UNDEFINED
Norwegian Licence for Open Government Data (NLOD) 2.0,NLOD-2.0,"Unknown, probably Attention or Stop or No-Go",NoCopyleft,UNDEFINED,UNDEFINED
Saxpath License,Saxpath,Go,NoCopyleft,UNDEFINED,UNDEFINED
Adobe Postscript AFM License,APAFML,Go,NoCopyleft,UNDEFINED,UNDEFINED
Info-ZIP License,Info-ZIP,Go,NoCopyleft,UNDEFINED,UNDEFINED
Apple Public Source License 1.1,APSL-1.1,"Unknown, probably Stop or No-Go",SaaSCopyleft,UNDEFINED,UNDEFINED
HTML Tidy License,HTMLTIDY,Go,NoCopyleft,UNDEFINED,UNDEFINED
Copyfree Open Innovation License,COIL-1.0,"Unknown, probably Attention or Stop or No-Go",UNDEFINED,UNDEFINED,UNDEFINED
Creative Commons Attribution Non Commercial Share Alike 1.0 Generic,CC-BY-NC-SA-1.0,No-Go,UNDEFINED,UNDEFINED,True
Creative Commons Attribution Non Commercial 2.0 Generic,CC-BY-NC-2.0,No-Go,UNDEFINED,UNDEFINED,True
SSH short notice,SSH-short,"Unknown, probably Attention or Stop or No-Go",NoCopyleft,UNDEFINED,UNDEFINED
Mup License,Mup,Go,NoCopyleft,UNDEFINED,UNDEFINED
Eiffel Forum License v1.0,EFL-1.0,"Unknown, probably Stop or No-Go",NoCopyleft,UNDEFINED,UNDEFINED
GNU Lesser General Public License v3.0 only,LGPL-3.0-only,"Unknown, probably Attention or Stop or No-Go",WeakCopyleft,True,UNDEFINED
Non-Profit Open Software License 3.0,NPOSL-3.0,"Unknown, probably Attention or Stop or No-Go",SaaSCopyleft,UNDEFINED,UNDEFINED
Creative Commons Attribution No Derivatives 4.0 International,CC-BY-ND-4.0,"Unknown, probably Attention or Stop or No-Go",UNDEFINED,UNDEFINED,UNDEFINED
Xerox License,Xerox,Go,NoCopyleft,UNDEFINED,UNDEFINED
Open Government Licence v3.0,OGL-UK-3.0,"Unknown, probably Attention or Stop or No-Go",NoCopyleft,UNDEFINED,UNDEFINED
Attribution Assurance License,AAL,"Unknown, probably Stop or No-Go",NoCopyleft,UNDEFINED,UNDEFINED
