9wm License (Original)	LicenseRef-9wm	http://unauthorised.org/dhog/9wm/README	The argument that there's a strongly-implied right to modify is unlikely to fly in many countries outside the US. NOTE: 9wm has since been relicensed to MIT.	
Adaptive Public License	APL-1.0	http://opensource.org/licenses/apl1.0.php		
Agere LT Modem Driver License	LicenseRef-agere-sla	https://fedoraproject.org/wiki/Licensing/Agere_LT_Modem_Driver_License		This license is non-free. A copy of this license was obtained from http://www.mepis.org/node/10356 and is preserved here for reference.
Aladdin Free Public License	Aladdin	http://www.artifex.com/downloads/doc/Public.htm		
AMAP License	LicenseRef-AMAP	https://fedoraproject.org/wiki/Licensing/AMAP_License	Additional restrictions are non-free and GPL incompatible	
Amazon Software License	LicenseRef-amazon-sl	http://aws.amazon.com/asl/	Section 3.3 is a clear field-of-use restriction	
Apple iTunes License	LicenseRef-iTunes	http://images.apple.com/legal/sla/docs/itunes.pdf	No source related permissions	
Apple Public Source License 1.0	APSL-1.0	https://fedoraproject.org/wiki/Licensing/Apple_Public_Source_License_1.0		This license is non-free. At one point, it could be found at http://www.opensource.apple.com/apsl/1.0.txt, but that link now redirects to APSL 2.0. A copy of the license text has been taken from archive.org's October 01, 2007 revision.
Apple Public Source License 1.1	APSL-1.1	https://fedoraproject.org/wiki/Licensing/Apple_Public_Source_License_1.1		This license is non-free. It used to be available here: http://www.opensource.apple.com/apsl/1.1.txt, but that now only points to APSL 2.0. A copy was taken from archive.org's snapshot from September 01, 2000.
Apple Public Source License 1.2	APSL-1.2	https://fedoraproject.org/wiki/Licensing/Apple_Public_Source_License_1.2		This license is non-free. It used to live at http://www.opensource.apple.com/apsl/1.2.txt, but Apple has taken down all copies of the APSL prior to 2.0. This copy was taken from archive.org's copy from April 15, 2008.
Apple Quicktime License	LicenseRef-quicktime	http://store.apple.com/Catalog/US/Images/quicktime.html	No source related permissions	
Aptana Public License	LicenseRef-aptana-1.0	http://aptana.com/legal/apl/  https://enterprise.dejacode.com/licenses/public/aptana-1.0/?_list_filters=q%3Daptana#license-text	No permission to redistribute	broken link
Artistic 1.0 (original)	Artistic-1.0-Perl	http://www.perl.com/pub/a/language/misc/Artistic.html	See: http://www.gnu.org/licenses/license-list.html#ArtisticLicense	
C/Migemo License	LicenseRef-cmigemo	https://fedoraproject.org/wiki/Licensing/CMigemo		
CACert Root Distribution License	LicenseRef-CACert	https://fedoraproject.org/wiki/Licensing/CACert_Root_Distribution_License	Liability disclaimer is actually use restriction	
CodeProject Open License (CPOL)	CPOL-1.02	http://www.codeproject.com/info/cpol10.aspx	Unacceptable use restrictions	
Commons Clause	LicenseRef-commons-clause	https://fedoraproject.org/wiki/Licensing/CommonsClause	Commercial use restrictions	
Eiffel Forum License 1.0	EFL-1.0	https://fedoraproject.org/wiki/Licensing/Eiffel_Forum_License_V1		
European Union Public License v1.0	EUPL-1.0	http://ec.europa.eu/idabc/eupl	Non-free due to Article 13.	
Frameworx License	Frameworx-1.0	http://opensource.org/licenses/frameworx.php	Non-free due to the limitation on charging for "Value-Added Services"	
Frontier Artistic License	LicenseRef-frontier-1.0	http://www.spinwardstars.com/frontier/fal.html  https://enterprise.dejacode.com/licenses/public/frontier-1.0/?_list_filters=q%3Dfrontier#license-text	Non-free for the same reasons as regular Artistic 1.0 License	broken link
gSOAP Public License	gSOAP-1.3b	http://www.cs.fsu.edu/~engelen/license.html	Please note that while the "gSOAP Public License" is non-free, the "gSOAP Toolkit" is dual licensed as GPLv2 or gSOAP Public License.	
Hacktivismo Enhanced-Source Software License Agreement	LicenseRef-hessla	http://www.hacktivismo.com/about/hessla.php  https://enterprise.dejacode.com/licenses/public/hessla/?_list_filters=q%3Dhacktivismo#license-text		broken link
Helix DNA Technology Binary Research Use License	LicenseRef-helix	https://helixcommunity.org/beula/  https://enterprise.dejacode.com/licenses/public/helix/?_list_filters=q%3Dhelix#license-text	No source permissions, binary EULA	broken link
IBM Sample Code License	LicenseRef-IBMsample	https://fedoraproject.org/wiki/Licensing/IBM_Sample_Code_License	Use restrictions	
Intel IPW3945 Daemon License	LicenseRef-Intel	https://fedoraproject.org/wiki/Licensing/Intel_IPW3945_Daemon_License	No source permissions, binary EULA	
JSON License	JSON	http://www.json.org/license.html	The clause "The Software shall be used for Good, not Evil." is impossible to parse or comply with.	
lha license	LicenseRef-Iha	http://packages.debian.org/changelogs/pool/non-free/l/lha/current/copyright		
License Agreement for Application Response Measurement (ARM) SDK	LicenseRef-ARM-SDK	https://fedoraproject.org/wiki/Licensing/ApplicationResponseMeasurementSDKLicense		
MAME License	LicenseRef-mame	http://mamedev.org/legal.html  https://web.archive.org/web/20140209072501/http://mamedev.org/legal.html	Commercial use restrictions	broken link (now under GPLv2) 
McRae General Public License	LicenseRef-mcrae-pl-4-r53	https://pgl.yoyo.org/license/	Commercial use restrictions	
Metasploit Framework License (pre 2006)	LicenseRef-Metasploit-1.2	https://fedoraproject.org/wiki/Licensing/Metasploit_Framework_License		
Microsoft's Shared Source CLI/C#/Jscript License	LicenseRef-MS-ss-cli	https://fedoraproject.org/wiki/Licensing/Microsoft_Shared_Source_License		
MSNTP License	LicenseRef-msntp	https://fedoraproject.org/wiki/Licensing/MSNTP	Commercial use restrictions	
mrouted license (old)	LicenseRef-stanford-mrouted	https://fedoraproject.org/wiki/Licensing/mrouted		
