unable to convert line 11 (<> found in field), writing to bad.tsv
unable to convert line 21 (missing SPDX expression), writing to bad.tsv
unable to convert line 34 (missing SPDX expression), writing to bad.tsv
unable to convert line 35 (missing SPDX expression), writing to bad.tsv
unable to convert line 60 (missing SPDX expression), writing to bad.tsv
unable to convert line 63 (missing SPDX expression), writing to bad.tsv
unable to convert line 64 (missing SPDX expression), writing to bad.tsv
unable to convert line 69 (missing SPDX expression), writing to bad.tsv
unable to convert line 74 (missing SPDX expression), writing to bad.tsv
unable to convert line 111 (missing SPDX expression), writing to bad.tsv
unable to convert line 131 (missing SPDX expression), writing to bad.tsv
unable to convert line 135 (missing SPDX expression), writing to bad.tsv
unable to convert line 137 (missing SPDX expression), writing to bad.tsv
unable to convert line 138 (missing SPDX expression), writing to bad.tsv
unable to convert line 139 (missing SPDX expression), writing to bad.tsv
unable to convert line 145 (... found in field), writing to bad.tsv
unable to convert line 152 (... found in field), writing to bad.tsv
unable to convert line 155 (... found in field), writing to bad.tsv
unable to convert line 157 (... found in field), writing to bad.tsv
unable to convert line 158 (missing SPDX expression), writing to bad.tsv
unable to convert line 160 (missing SPDX expression), writing to bad.tsv
unable to convert line 161 (missing SPDX expression), writing to bad.tsv
unable to convert line 162 (missing SPDX expression), writing to bad.tsv
unable to convert line 166 (missing SPDX expression), writing to bad.tsv
unable to convert line 167 (missing SPDX expression), writing to bad.tsv
unable to convert line 182 (missing SPDX expression), writing to bad.tsv
unable to convert line 197 (missing SPDX expression), writing to bad.tsv
unable to convert line 202 (missing SPDX expression), writing to bad.tsv
unable to convert line 209 (missing SPDX expression), writing to bad.tsv
unable to convert line 211 (missing SPDX expression), writing to bad.tsv
unable to convert line 216 (missing SPDX expression), writing to bad.tsv
unable to convert line 219 (missing SPDX expression), writing to bad.tsv
unable to convert line 224 (missing SPDX expression), writing to bad.tsv
unable to convert line 225 (missing SPDX expression), writing to bad.tsv
unable to convert line 228 (missing SPDX expression), writing to bad.tsv
unable to convert line 230 (missing SPDX expression), writing to bad.tsv
unable to convert line 231 (missing SPDX expression), writing to bad.tsv
unable to convert line 232 (missing SPDX expression), writing to bad.tsv
unable to convert line 234 (missing SPDX expression), writing to bad.tsv
unable to convert line 235 (missing SPDX expression), writing to bad.tsv
unable to convert line 239 (missing SPDX expression), writing to bad.tsv
unable to convert line 244 (missing SPDX expression), writing to bad.tsv
unable to convert line 246 (missing SPDX expression), writing to bad.tsv
unable to convert line 248 (missing SPDX expression), writing to bad.tsv
unable to convert line 250 (missing SPDX expression), writing to bad.tsv
unable to convert line 253 (missing SPDX expression), writing to bad.tsv
unable to convert line 254 (missing SPDX expression), writing to bad.tsv
unable to convert line 256 (missing SPDX expression), writing to bad.tsv
unable to convert line 259 (missing SPDX expression), writing to bad.tsv
unable to convert line 260 (missing SPDX expression), writing to bad.tsv
unable to convert line 261 (missing SPDX expression), writing to bad.tsv
unable to convert line 262 (missing SPDX expression), writing to bad.tsv
unable to convert line 263 (missing SPDX expression), writing to bad.tsv
unable to convert line 264 (missing SPDX expression), writing to bad.tsv
unable to convert line 269 (missing SPDX expression), writing to bad.tsv
unable to convert line 273 (missing SPDX expression), writing to bad.tsv
unable to convert line 287 (missing SPDX expression), writing to bad.tsv
